888,1,0,Su gameplay es demasiado complejo
174,1,0,Me estoy planteando devolverlo
912,1,0,La idea es buena pero esta muy mal ejecutado
167,1,0,Me estoy planteando devolverlo
189,1,0,Es aburrido
567,1,0,La idea es buena pero esta muy mal ejecutado
164,1,1,Es muy interesante
771,1,1,Me gusta mucho
440,1,0,Es aburrido
102,2,0,Me estoy planteando devolverlo
289,2,1,Me gusta mucho
762,2,1,Concepto entrentenido
985,2,0,Me estoy planteando devolverlo
798,3,0,Su gameplay es demasiado complejo
497,3,0,Me estoy planteando devolverlo
390,3,0,Su gameplay es demasiado complejo
83,3,1,Es muy interesante
564,3,0,Me estoy planteando devolverlo
258,3,0,Me estoy planteando devolverlo
824,3,0,Su gameplay es demasiado complejo
541,3,1,Concepto entrentenido
249,3,0,Su gameplay es demasiado complejo
680,4,0,Su gameplay es demasiado complejo
388,4,0,Es aburrido
564,4,1,Concepto entrentenido
234,4,1,Concepto entrentenido
248,4,1,Concepto entrentenido
386,4,1,Me gusta mucho
929,5,0,Su gameplay es demasiado complejo
392,5,0,Me estoy planteando devolverlo
475,5,1,Es muy interesante
848,5,1,Concepto entrentenido
814,5,0,Su gameplay es demasiado complejo
364,5,1,Concepto entrentenido
106,5,0,Su gameplay es demasiado complejo
484,5,1,Es muy interesante
282,6,1,Creo que le echaré bastante horas
153,6,1,Creo que le echaré bastante horas
76,6,1,Creo que le echaré bastante horas
151,6,1,Me gusta mucho
660,6,1,Creo que le echaré bastante horas
983,6,0,Su gameplay es demasiado complejo
649,6,0,Me estoy planteando devolverlo
971,6,0,Su gameplay es demasiado complejo
431,7,0,Me estoy planteando devolverlo
600,7,1,Creo que le echaré bastante horas
232,7,0,Me estoy planteando devolverlo
928,7,0,Su gameplay es demasiado complejo
531,8,0,Es aburrido
79,8,0,Su gameplay es demasiado complejo
851,8,0,Su gameplay es demasiado complejo
605,8,0,Me estoy planteando devolverlo
591,8,0,La idea es buena pero esta muy mal ejecutado
961,8,0,La idea es buena pero esta muy mal ejecutado
884,8,0,Me estoy planteando devolverlo
223,8,0,Su gameplay es demasiado complejo
473,8,1,Es muy interesante
773,9,0,Es aburrido
658,9,0,Es aburrido
16,9,1,Es muy interesante
538,9,1,Creo que le echaré bastante horas
441,9,0,Me estoy planteando devolverlo
189,10,0,Su gameplay es demasiado complejo
851,10,0,Me estoy planteando devolverlo
510,10,0,Me estoy planteando devolverlo
726,10,0,Me estoy planteando devolverlo
255,10,1,Creo que le echaré bastante horas
447,10,1,Creo que le echaré bastante horas
213,10,0,Es aburrido
92,11,1,Concepto entrentenido
300,11,1,Concepto entrentenido
433,11,0,Es aburrido
943,11,1,Concepto entrentenido
793,11,0,Su gameplay es demasiado complejo
730,11,0,Es aburrido
487,11,0,Me estoy planteando devolverlo
62,12,0,Su gameplay es demasiado complejo
121,12,1,Me gusta mucho
145,12,1,Es muy interesante
900,12,0,Es aburrido
310,12,1,Es muy interesante
181,12,1,Creo que le echaré bastante horas
223,12,0,Me estoy planteando devolverlo
75,12,0,La idea es buena pero esta muy mal ejecutado
820,12,0,Su gameplay es demasiado complejo
917,13,1,Me gusta mucho
346,13,0,Su gameplay es demasiado complejo
711,13,1,Es muy interesante
982,13,0,Me estoy planteando devolverlo
707,13,1,Concepto entrentenido
158,13,0,La idea es buena pero esta muy mal ejecutado
502,14,1,Concepto entrentenido
876,14,0,Es aburrido
603,14,0,Su gameplay es demasiado complejo
993,14,1,Es muy interesante
383,14,1,Me gusta mucho
757,14,0,Me estoy planteando devolverlo
544,15,0,Me estoy planteando devolverlo
487,15,1,Me gusta mucho
158,15,0,Es aburrido
359,15,1,Creo que le echaré bastante horas
197,15,1,Creo que le echaré bastante horas
945,15,1,Me gusta mucho
493,15,0,Su gameplay es demasiado complejo
828,15,1,Es muy interesante
202,16,0,La idea es buena pero esta muy mal ejecutado
692,16,0,Me estoy planteando devolverlo
343,16,1,Me gusta mucho
810,16,1,Es muy interesante
874,16,0,La idea es buena pero esta muy mal ejecutado
514,16,1,Me gusta mucho
800,16,1,Es muy interesante
341,16,1,Me gusta mucho
163,16,0,Me estoy planteando devolverlo
662,17,0,La idea es buena pero esta muy mal ejecutado
575,17,0,Su gameplay es demasiado complejo
52,17,0,La idea es buena pero esta muy mal ejecutado
796,17,0,Me estoy planteando devolverlo
390,17,1,Creo que le echaré bastante horas
272,17,0,Su gameplay es demasiado complejo
775,17,1,Concepto entrentenido
940,17,1,Concepto entrentenido
519,17,1,Me gusta mucho
256,18,0,La idea es buena pero esta muy mal ejecutado
562,18,0,La idea es buena pero esta muy mal ejecutado
552,18,0,La idea es buena pero esta muy mal ejecutado
655,18,1,Me gusta mucho
845,18,0,La idea es buena pero esta muy mal ejecutado
169,18,1,Me gusta mucho
844,18,0,Es aburrido
973,18,0,Su gameplay es demasiado complejo
33,19,1,Creo que le echaré bastante horas
